,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
80,Hermanus,-34.4187,19.2345,53.91,90,22,4.94,ZA,1628141574
81,Nuuk,64.1835,-51.7216,48.81,87,75,8.05,GL,1628059432
82,Burnie,-41.0667,145.9167,50.92,84,100,12.15,AU,1628111969
83,Guadalupe y Calvo,26.1,-106.9667,58.08,92,100,2.98,MX,1628080518
84,Dallas,32.7668,-96.7836,92.48,48,20,1.99,US,1628077394
85,Longyearbyen,78.2186,15.6401,42.64,87,75,10.36,SJ,0
86,Haines Junction,60.7522,-137.5108,71.55,46,99,3.44,CA,1628081659
87,Fazilka,30.4,74.0333,86.79,65,92,6.67,IN,1628123070
88,Bambous Virieux,-20.3428,57.7575,68.25,68,40,13.8,MU,1628131032
89,Kokoda,-8.8785,147.7407,77.72,90,99,1.43,PG,1628108550
90,Thompson,55.7435,-97.8558,62.76,45,40,12.66,CA,1628073779
91,Preston,53.7667,-2.7167,61.25,59,81,4.45,GB,1628137936
92,Pisco,-13.7,-76.2167,63.01,88,75,5.75,PE,1628076274
93,Turukhansk,65.8167,87.9833,67.01,63,24,6.06,RU,1628111449
94,Batemans Bay,-35.7167,150.1833,58.91,46,59,4.65,AU,1628110308
95,Katobu,-4.9408,122.5276,78.08,83,90,5.48,ID,1628114308
96,Salinas,36.6777,-121.6555,90.57,69,1,16.11,US,1628082914
97,Irtyshskiy,58.3333,68.1333,58.12,83,63,3.47,RU,1628119631
98,Inírida,3.8653,-67.9239,70.39,98,100,1.61,CO,1628072969
99,Esperance,-33.8667,121.9,42.64,88,0,8.28,AU,1628116892
100,Hendek,40.7994,30.7481,64.72,56,0,3.4,TR,1628132235
101,Avarua,-21.2078,-159.775,78.85,61,17,9.22,CK,1628096925
102,Philadelphia,39.9523,-75.1638,78.4,68,75,5.01,US,1628071329
103,Te Anau,-45.4167,167.7167,43.59,75,100,1.39,NZ,1628107347
104,Agropoli,40.3469,14.9966,82.9,60,30,2.59,IT,1628136080
105,Huarmey,-10.0681,-78.1522,65.43,85,16,6.73,PE,1628076460
106,Mehrān,33.1222,46.1646,89.08,16,19,4.38,IR,1628129473
107,Ponta do Sol,32.6667,-17.1,74.03,78,15,2.68,PT,1628144713
108,Yeppoon,-23.1333,150.7333,60.58,42,0,12.68,AU,1628108961
109,Castro,-24.7911,-50.0119,47.1,95,89,6.91,BR,1628070901
110,Kirakira,-10.4544,161.9205,82.4,61,16,3.33,SB,1628105266
111,Evora,38.5667,-7.9,68.94,74,49,10.65,PT,1628141812
112,Alyangula,-13.8483,136.4192,73.27,53,22,10.36,AU,1628111643
113,Litovko,49.2361,135.1742,58.91,91,100,4.92,RU,1628105785
114,Beringovskiy,63.05,179.3167,48.96,90,100,25.88,RU,1628091034
115,Jamame,0.0722,42.7506,74.48,80,42,12.71,SO,1628133086
116,Chajul,15.4853,-91.0342,71.64,99,95,1.79,GT,1628077619
117,Nola,40.922,14.5329,82.81,66,23,4.41,IT,1628136113
118,Waipawa,-41.4122,175.5153,43.45,74,100,4.12,NZ,1628104916
119,Kwang Binh,17.4833,106.6,83.8,72,100,10.29,VN,1628116431
120,Hithadhoo,-0.6,73.0833,81.12,77,99,7.7,MV,1628125855
121,Hazleton,40.9584,-75.9746,72.72,53,1,0.0,US,1628071385
122,Souillac,-20.5167,57.5167,68.38,68,40,13.8,MU,1628131104
123,Sandakan,5.8402,118.1179,78.48,94,20,1.99,MY,1628114572
124,East Moline,41.5009,-90.4443,81.97,48,1,4.61,US,1628074784
125,Sembakung,3.8167,117.25,78.73,93,59,2.44,ID,1628114931
126,Atar,20.5169,-13.0499,95.97,27,4,7.18,MR,1628058477
127,Saskylakh,71.9167,114.0833,58.98,39,92,11.54,RU,1628096945
128,Klaksvík,62.2266,-6.589,54.52,97,98,5.79,FO,1628136122
129,Henties Bay,-22.116,14.2845,56.86,83,1,5.12,NA,1628141609
130,Vuktyl,63.8567,57.3094,58.62,89,95,2.98,RU,1628119972
131,Port Alfred,-33.5906,26.891,63.03,86,89,6.13,ZA,1628139651
132,Anadyr,64.75,177.4833,70.3,60,0,31.32,RU,1628090574
133,Shizunai-furukawachō,42.3339,142.3669,77.79,82,66,5.26,JP,1628105211
134,Bathsheba,13.2167,-59.5167,81.21,78,40,8.05,BB,1628070235
135,Baijiantan,45.6333,85.1833,81.73,27,81,10.04,CN,1628118435
136,Touba,8.2833,-7.6833,69.98,96,100,6.4,CI,1628058177
137,Biankouma,7.7391,-7.6138,68.32,99,100,2.91,CI,1628058202
138,Wamba,8.9333,8.6,72.05,96,85,2.28,NG,1628140626
139,Batagay,67.6333,134.6333,61.36,35,42,5.39,RU,1628098866
140,Paamiut,61.994,-49.6678,45.91,88,99,5.84,GL,1628060019
141,Kangaatsiaq,68.3065,-53.4641,42.94,93,19,10.54,GL,1628056857
142,Ulaangom,49.9811,92.0667,68.23,52,40,2.33,MN,1628115995
143,Somerset East,-32.7217,25.588,54.77,87,85,6.67,ZA,1628139874
144,Khovu-Aksy,51.1333,93.6,56.68,88,81,0.94,RU,1628115390
145,Bengkulu,-3.8004,102.2655,74.5,90,100,4.34,ID,1628119087
146,Cabo San Lucas,22.8909,-109.9124,88.11,48,75,11.5,MX,1628081521
147,Sisimiut,66.9395,-53.6735,47.25,83,66,5.99,GL,1628058101
148,Bridlington,54.0831,-0.1919,60.98,83,37,15.35,GB,1628137252
149,Issia,6.4922,-6.5856,70.56,99,100,3.98,CI,1628058050
150,Poum,-20.2333,164.0167,71.28,72,100,4.41,NC,1628105530
151,Faya,18.3851,42.4509,66.31,73,71,6.2,SA,1628131755
152,Uray,60.1247,64.7758,61.79,96,97,5.75,RU,1628119816
153,Rudnya,54.947,31.0934,56.62,79,93,5.03,RU,1628129516
154,Floriano,-6.7669,-43.0225,78.82,29,35,8.5,BR,1628067782
155,Sinnamary,5.3833,-52.95,78.3,83,72,6.49,GF,1628069262
156,Dovbysh,50.3733,27.9874,57.61,92,91,4.14,UA,1628131310
157,Springbok,-29.6643,17.8865,45.34,75,0,1.45,ZA,1628141419
158,L'govskiy,51.6307,35.2775,54.95,64,47,7.38,RU,1628129296
159,Lompoc,34.6391,-120.4579,85.01,66,1,12.66,US,1628082868
160,Terrace,54.5163,-128.6035,71.51,78,90,13.8,CA,1628081494
161,Yar-Sale,66.8333,70.8333,59.76,72,40,4.65,RU,1628114864
162,Huancabamba,-5.2386,-79.4506,54.9,82,19,9.06,PE,1628076410
163,Trofors,65.5333,13.4063,51.15,75,92,4.54,NO,1628129575
164,Severo-Kuril'sk,50.6789,156.125,56.55,64,99,14.45,RU,1628100463
165,Bayir,37.2687,28.2167,77.52,31,0,5.77,TR,1628133302
166,Nānākuli,21.3906,-158.1547,85.95,57,75,14.97,US,1628093235
167,Saint-Augustin,51.226,-58.6502,62.01,63,24,5.73,CA,1628065457
168,Pulandian,39.3953,121.9669,73.53,92,97,3.71,CN,1628110517
169,Narsaq,60.9167,-46.05,46.62,89,97,4.94,GL,1628059604
170,Bethel,41.3712,-73.414,71.73,79,1,6.91,US,1628070712
171,Jimeta,9.2833,12.4667,76.05,85,64,4.05,NG,1628139671
172,Vokhtoga,58.8147,41.0461,52.57,64,34,2.68,RU,1628125983
173,Andenes,69.3143,16.1194,51.08,100,90,6.91,NO,1628125746
174,Mount Isa,-20.7333,139.5,56.97,35,5,14.97,AU,1628111454
175,Atuona,-9.8,-139.0333,77.63,68,47,8.9,PF,1628091048
176,Boa Esperança,-21.09,-45.5658,60.66,65,77,9.31,BR,1628069515
177,Bandarbeyla,9.4942,50.8122,77.88,75,8,28.03,SO,1628130451
178,Agadez,19.75,10.25,89.49,30,62,10.02,NE,1628139371
179,Tevaitoa,-16.7833,-151.5,79.48,72,32,15.52,PF,1628094579
180,Mitú,1.1983,-70.1733,74.01,79,75,2.21,CO,1628073707
181,Dunedin,-45.8742,170.5036,48.79,70,100,14.0,NZ,1628106748
182,Leningradskiy,69.3833,178.4167,43.27,86,97,5.08,RU,1628086552
183,Isangel,-19.55,169.2667,80.71,50,52,4.61,VU,1628104215
184,Oktyabr'skiy,54.4815,53.471,64.51,91,86,4.85,RU,1628124258
185,Clyde River,70.4692,-68.5914,37.63,100,90,14.97,CA,1628057753
186,Mabaruma,8.2,-59.7833,74.52,90,18,2.86,GY,1628070689
187,Adrar,20.5022,-10.0711,91.31,19,18,11.59,MR,1628057763
188,Pochutla,15.7432,-96.4661,85.05,76,95,3.24,MX,1628078902
189,Tema,5.667,-0.0166,79.21,89,40,13.8,GH,1628056536
190,Marabu,4.4148,114.0089,78.94,89,40,2.3,MY,1628115664
191,Shubarkuduk,49.1447,56.4872,79.95,30,44,6.82,KZ,1628124706
192,Cherskiy,68.75,161.3,52.25,71,98,7.61,RU,1628091389
193,Angoche,-16.2325,39.9086,69.57,83,2,5.23,MZ,1628134985
194,Mandalgovi,45.7625,106.2708,58.98,61,0,9.46,MN,1628113349
195,Hambantota,6.1241,81.1185,79.36,81,53,18.41,LK,1628123431
196,Esso,55.9333,158.7,45.48,83,94,6.71,RU,1628098586
197,Aitape,-3.1374,142.3475,83.84,68,16,2.06,PG,1628109419
198,Altay,47.8667,88.1167,69.28,43,33,2.15,CN,1628117345
199,Coquimbo,-29.9533,-71.3436,55.13,87,90,2.3,CL,1628076497
200,Shache,38.4167,77.2406,75.79,31,100,4.68,CN,1628121385
201,Hong Kong,22.2855,114.1577,82.45,92,100,1.01,HK,1628114207
202,Dikson,73.5069,80.5464,45.25,90,11,4.14,RU,0
203,Ribeira Grande,38.5167,-28.7,72.99,89,0,6.89,PT,1628060360
204,Behbahān,30.5959,50.2417,94.32,17,64,5.77,IR,1628128763
205,Alpine,32.835,-116.7664,100.35,40,1,1.01,US,1628082184
206,Pirovskoye,57.6267,92.2658,61.77,89,78,2.35,RU,1628114055
207,Ketchikan,55.3422,-131.6461,61.27,100,90,17.27,US,1628082008
208,Hammerfest,70.6634,23.6821,48.65,100,90,8.05,NO,1628122040
209,Hasaki,35.7333,140.8333,82.8,76,0,5.19,JP,1628106443
210,Port Elizabeth,-33.918,25.5701,60.1,94,40,4.61,ZA,1628140002
211,Caravelas,-17.7125,-39.2481,69.17,82,92,11.68,BR,1628067721
212,Newtownards,54.5924,-5.6909,60.53,91,100,1.99,GB,1628138446
213,Kalmunai,7.4167,81.8167,78.62,78,89,4.99,LK,1628123167
214,Norwich,52.6278,1.2983,60.93,91,0,4.61,GB,1628137239
215,Nago,26.5881,127.9761,81.45,88,100,7.0,JP,1628110496
216,Tiksi,71.6872,128.8694,44.92,72,2,8.28,RU,1628094250
217,Fomboni,-12.28,43.7425,75.47,74,1,6.15,KM,1628133760
218,Khatanga,71.9667,102.5,68.72,39,82,13.33,RU,1628099524
219,Padang,-0.9492,100.3543,77.45,80,100,2.91,ID,1628119336
220,Necochea,-38.5473,-58.7368,50.04,67,3,10.31,AR,1628074400
221,Mahébourg,-20.4081,57.7,68.29,68,40,13.8,MU,1628131052
222,Chimoio,-19.1164,33.4833,55.26,94,20,1.92,MZ,1628136756
223,Kochubey,44.3861,46.5825,83.28,38,100,5.97,RU,1628127907
224,Provideniya,64.3833,-173.3,62.71,59,75,17.9,RU,1628175161
225,Kununurra,-15.7667,128.7333,71.58,21,46,13.8,AU,1628113637
226,Haverhill,42.7762,-71.0773,72.73,82,75,3.0,US,1628069947
227,Airai,-8.9266,125.4092,65.91,63,25,5.61,TL,1628113912
228,Mitsamiouli,-11.3847,43.2844,74.59,73,0,1.57,KM,1628133803
229,Asău,46.4333,26.4,66.4,94,33,4.59,RO,1628132422
230,Karasburg,-28.0167,18.75,50.31,43,4,1.99,NA,1628141057
231,Hilo,19.7297,-155.09,80.33,80,75,14.97,US,1628092643
232,Broken Hill,-31.95,141.4333,49.71,76,0,12.66,AU,1628112009
233,Kavaratti,10.5669,72.642,82.24,77,100,18.21,IN,1628125130
234,Pangody,65.85,74.4859,58.71,82,27,5.21,RU,1628114675
235,Calvià,39.5657,2.5062,75.96,59,54,5.5,ES,1628139184
236,Cruzeiro do Sul,-29.5128,-51.9853,60.53,91,91,1.36,BR,1628071811
237,Pedernales,18.0384,-71.744,82.35,75,100,11.21,DO,1628072778
238,Tuzha,57.6062,47.936,59.7,76,85,6.82,RU,1628124716
239,Vanavara,60.34,102.2797,65.08,56,53,5.84,RU,1628110719
240,Santa Cruz de la Sierra,-17.8,-63.1667,71.65,43,75,0.0,BO,1628073467
241,Chalkoutsi,38.3333,23.7333,91.98,28,3,2.53,GR,1628134245
242,Onega,63.9061,38.1404,50.14,85,100,14.97,RU,1628124557
243,Bolivar,37.6145,-93.4105,81.82,58,45,4.18,US,1628076015
244,Duekoué,6.7472,-7.3496,70.72,98,100,4.36,CI,1628058214
245,Mashhad,36.297,59.6062,77.14,38,0,4.61,IR,1628125881
246,Ilulissat,69.2167,-51.1,50.02,76,6,3.44,GL,1628055306
247,Kloulklubed,7.0419,134.2556,82.9,72,99,6.42,PW,1628110609
248,Westport,41.1415,-73.3579,73.26,85,90,1.01,US,1628070731
249,Norman Wells,65.282,-126.8329,62.64,51,75,13.8,CA,1628076858
250,Port-Gentil,-0.7193,8.7815,76.96,83,75,11.5,GA,1628141295
251,Locri,38.2414,16.2623,82.76,37,0,4.25,IT,1628136051
252,Batagay-Alyta,67.8006,130.4114,57.81,34,0,22.44,RU,1628099738
253,Bud,39.447,-86.1758,82.38,64,2,4.63,US,1628074041
254,Srednekolymsk,67.45,153.6833,42.98,84,100,5.75,RU,1628094434
255,Dumas,35.8656,-101.9732,78.22,82,90,6.91,US,1628078285
256,Vinci,43.7789,10.9224,72.21,77,64,3.0,IT,1628136566
257,Monte Alegre,-2.0078,-54.0692,80.42,61,39,1.39,BR,1628070080
258,Tel Aviv-Yafo,32.0805,34.7805,85.69,48,0,4.61,IL,1628132319
259,College,64.8569,-147.8028,81.09,44,40,4.61,US,1628082160
260,Forécariah,9.4306,-13.0881,78.66,97,100,3.91,GN,1628059387
261,Aklavik,68.2191,-135.0107,68.83,40,1,8.05,CA,1628076580
262,Kungurtug,50.5994,97.5228,59.11,64,32,1.83,RU,1628114558
263,George Town,5.4112,100.3354,80.89,89,20,2.3,MY,1628118872
264,Kutum,14.2,24.6667,74.93,66,67,8.75,SD,1628136363
265,Bom Jesus da Lapa,-13.255,-43.4181,74.91,38,45,12.48,BR,1628068369
266,Nome,64.5011,-165.4064,78.87,51,1,20.71,US,1628086601
267,Sapa,5.1544,120.3241,83.61,78,28,10.18,PH,1628114094
268,Chokurdakh,70.6333,147.9167,49.48,52,96,18.14,RU,1628092104
269,Sterling,39.0062,-77.4286,80.69,53,20,1.01,US,1628071999
270,Kamyshla,54.1169,52.1426,62.87,96,93,3.18,RU,1628124668
271,Bandrele,-12.9067,45.1914,71.35,88,0,3.44,YT,1628133460
272,Allāpalli,19.4167,80.0667,74.77,95,100,2.42,IN,1628122639
273,Swan River,52.1058,-101.2676,64.29,100,85,5.75,CA,1628075503
274,Puerto Peñasco,31.3167,-113.5333,89.91,81,0,11.01,MX,1628081572
275,Waynesboro,38.0685,-78.8895,78.89,51,1,9.22,US,1628072471
276,Charlestown,-32.95,151.6667,61.11,66,17,1.99,AU,1628109656
277,Sakaiminato,35.55,133.2333,84.18,74,20,2.3,JP,1628108290
278,Russell,32.3502,-85.1999,85.6,58,40,4.61,US,1628074658
279,Muros,42.7762,-9.0603,64.9,91,30,4.12,ES,1628141516
280,Östersund,63.1792,14.6357,55.85,50,85,10.36,SE,1628130576
281,Shelburne,44.0787,-80.2041,75.96,62,50,2.13,CA,1628071940
282,Morondava,-20.2833,44.2833,70.38,63,47,3.67,MG,1628134260
283,São Félix do Xingu,-6.6447,-51.995,78.21,30,22,1.99,BR,1628069926
284,Nantucket,41.2835,-70.0995,65.14,96,100,19.42,US,1628069928
285,Chui,-33.6971,-53.4616,49.05,95,86,5.79,UY,1628072588
286,Araouane,18.9048,-3.5265,96.55,30,13,7.92,ML,1628056329
287,Tual,-5.6667,132.75,81.41,76,95,20.22,ID,1628111909
288,Kargasok,59.0556,80.8572,59.25,87,96,7.09,RU,1628116332
289,Puerto Escondido,15.85,-97.0667,86.83,62,90,11.5,MX,1628079037
290,Samarai,-10.6167,150.6667,78.62,78,89,15.05,PG,1628107978
291,Sokoto,13.0609,5.239,82.0,67,87,9.64,NG,1628141116
292,Pevek,69.7008,170.3133,42.31,86,99,15.23,RU,1628088106
293,Benito Juarez,19.385,-99.165,70.14,64,90,1.01,MX,1628079247
294,Calabozo,8.9242,-67.4293,72.59,95,44,3.85,VE,1628072468
295,Arriaga,16.2333,-93.9,82.54,82,74,2.77,MX,1628078246
296,Veliky Novgorod,58.5167,31.2833,51.93,78,90,4.18,RU,1628128429
297,Husavik,66.0449,-17.3389,53.51,86,89,2.62,IS,1628050013
298,Vestmannaeyjar,63.4427,-20.2734,55.24,88,82,11.74,IS,1628052261
299,Cayenne,4.9333,-52.3333,79.09,84,0,1.01,GF,1628069147
300,Havre-St-Pierre,50.2334,-63.5986,57.56,77,1,10.36,CA,1628066854
301,Nur-Sultan,51.1801,71.446,60.75,63,0,2.24,KZ,1628120702
302,Solwezi,-12.1688,26.3894,53.96,42,0,5.1,ZM,1628137916
303,Olinda,-8.0089,-34.8553,69.53,94,75,9.22,BR,1628065915
304,Namatanai,-3.6667,152.4333,83.01,74,55,6.51,PG,1628107038
305,Banjar,-8.19,114.9675,80.46,85,53,1.63,ID,1628116363
306,Iqaluit,63.7506,-68.5145,44.33,87,20,5.99,CA,1628063704
307,Salalah,17.0151,54.0924,78.89,94,90,6.91,OM,1628129073
308,Fortuna,40.5982,-124.1573,67.86,75,20,1.99,US,1628083007
309,Thinadhoo,0.5333,72.9333,80.73,76,98,3.22,MV,1628125808
310,Prome,18.8167,95.2167,75.07,98,99,6.29,MM,1628119052
311,Nishihara,26.1842,127.7558,80.65,97,75,5.75,JP,1628110587
312,Roald,62.5833,6.1333,57.33,82,96,5.75,NO,1628132902
313,Balakhninskiy,58.0106,114.2769,55.96,92,100,2.01,RU,1628108644
314,Lengyeltóti,46.6701,17.644,70.43,53,100,10.11,HU,1628134484
315,Mbanza-Ngungu,-5.25,14.8667,73.15,62,1,8.75,CD,1628140166
316,Saint-Pierre,-21.3393,55.4781,65.84,72,20,14.97,RE,1628131662
317,Xiongzhou,25.1167,114.3,80.17,91,74,2.21,CN,1628113918
318,Igrim,63.1906,64.4162,60.42,75,82,5.86,RU,1628118599
319,Pontes e Lacerda,-15.2261,-59.3353,72.79,35,64,4.81,BR,1628072342
320,Letterkenny,54.95,-7.7333,56.25,99,100,2.86,IE,1628138845
321,Tura,25.5198,90.2201,74.75,97,97,3.6,IN,1628119661
322,La Ronge,55.1001,-105.2842,66.45,72,90,9.22,CA,1628075738
323,Watsa,3.0372,29.5355,62.44,98,14,2.66,CD,1628136040
324,Neiafu,-18.65,-173.9833,77.68,61,75,2.3,TO,1628186494
325,Marau,-28.4492,-52.2,50.7,91,97,4.97,BR,1628071760
326,Half Moon Bay,37.4636,-122.4286,87.75,70,1,1.99,US,1628083003
327,Bani Walid,31.7566,13.9942,81.18,43,0,6.87,LY,1628137344
328,Gladstone,-23.85,151.25,62.78,41,1,8.05,AU,1628108899
329,Fukuechō,32.6881,128.8419,84.56,74,40,1.14,JP,1628109668
330,Kaitangata,-46.2817,169.8464,49.93,70,100,12.15,NZ,1628106969
331,Ladário,-19.0047,-57.6017,72.73,30,100,2.77,BR,1628072229
332,Touros,-5.1989,-35.4608,74.3,80,30,14.38,BR,1628065851
333,Constitución,-35.3333,-72.4167,52.63,86,73,9.55,CL,1628077311
334,Havøysund,70.9963,24.6622,49.08,90,95,11.3,NO,1628121192
335,Grand-Santi,4.25,-54.3833,72.48,98,38,1.59,GF,1628069690
336,Kruisfontein,-34.0033,24.7314,57.88,96,100,8.37,ZA,1628140212
337,Toksovo,60.1532,30.5165,49.59,80,33,4.18,RU,1628128041
338,Sirte,31.2089,16.5887,83.21,69,0,6.71,LY,1628136779
339,Margate,51.3813,1.3862,61.03,87,6,5.53,GB,1628137492
340,Budeşti,44.2347,26.4658,75.63,54,20,2.46,RO,1628132763
341,Nichinan,31.6,131.3667,85.68,75,46,10.42,JP,1628109179
342,Palauig,15.435,119.9045,81.72,86,98,17.22,PH,1628113404
343,Ust-Maya,60.4167,134.5333,71.89,47,18,1.81,RU,1628102935
344,Kavieng,-2.5744,150.7967,83.32,71,12,3.76,PG,1628107350
345,Aden,12.7794,45.0367,83.3,82,34,9.44,YE,1628131585
346,Ostrovnoy,68.0531,39.5131,48.79,92,100,22.01,RU,1628121400
347,St. George's,12.0564,-61.7485,80.28,83,20,11.5,GD,1628070862
348,Iracoubo,5.4802,-53.2011,77.83,84,79,5.79,GF,1628069315
349,Banda Aceh,5.5577,95.3222,79.3,80,100,15.32,ID,1628120064
350,Mossamedes,-15.1961,12.1522,67.78,69,3,3.74,AO,1628141564
351,Fairbanks,64.8378,-147.7164,84.09,44,1,9.22,US,1628082151
352,Kuytun,54.3419,101.5036,66.16,65,50,1.36,RU,1628112751
353,Mar del Plata,-38.0023,-57.5575,55.09,28,0,8.01,AR,1628074052
354,Havelock,34.8791,-76.9013,74.93,93,90,1.01,US,1628072381
355,Arthur,39.7148,-88.4723,80.78,78,7,3.27,US,1628074557
356,Talnakh,69.4865,88.3972,72.28,53,10,2.57,RU,1628108122
357,Sur,22.5667,59.5289,91.71,52,100,5.41,OM,1628127297
